Age,Gender,Job Type,Daily Social Media Time,Social Platform Preference,Number of Notifications,Work Hours per Day,Perceived Productivity Score,Actual Productivity Score,Stress Level,Sleep Hours,Screen Time Before Sleep,Breaks During Work,Uses Focus Apps,Has Digital Wellbeing Enabled,Coffee Consumption per Day,Days Feeling Burnout per Month,Weekly Offline Hours,Job Satisfaction Score
56.0,Male,Unemployed,4.18,Facebook,61.0,6.75,8.04,7.29,4.0,5.12,0.42,8.0,False,False,4.0,11.0,21.93,6.34
46.0,Male,Health,3.25,Twitter,59.0,9.17,5.06,5.17,7.0,5.1,0.67,7.0,True,True,2.0,25.0,0.0,3.41
56.0,Female,Unemployed,4.38,TikTok,60.0,3.9,6.42,5.98,7.0,7.55,2.25,4.0,False,False,4.0,20.0,24.08,5.5
36.0,Female,Education,4.09,Twitter,49.0,6.56,2.68,2.45,4.0,6.33,0.75,2.0,False,False,4.0,29.0,8.42,3.44
28.0,Male,IT,3.34,Twitter,57.0,11.02,8.94,7.98,4.0,3.95,1.03,5.0,True,True,1.0,3.0,13.51,9.41
57.0,Male,Education,0.0,Twitter,60.0,6.82,8.85,7.93,5.0,6.76,1.34,3.0,False,False,4.0,27.0,18.05,7.56
41.0,Male,Education,3.77,TikTok,65.0,8.64,7.51,6.77,10.0,7.92,1.26,6.0,True,False,4.0,20.0,12.77,6.85
20.0,Male,Student,5.83,TikTok,67.0,4.72,2.65,2.86,5.0,8.3,1.09,9.0,False,False,4.0,0.0,8.1,2.18
19.0,Male,Health,5.62,Twitter,52.0,8.2,2.15,2.06,1.0,5.22,1.96,3.0,False,False,2.0,6.0,20.03,1.73
61.0,Female,Education,1.45,Twitter,62.0,6.42,6.87,5.96,6.0,6.98,0.0,4.0,True,True,3.0,17.0,14.09,5.44
55.0,Female,Finance,0.07,TikTok,50.0,7.09,8.97,8.12,5.0,5.22,0.88,2.0,False,False,1.0,21.0,4.72,8.55
19.0,Male,Health,5.92,Twitter,65.0,6.59,3.87,2.97,5.0,5.55,0.83,1.0,False,False,2.0,22.0,10.62,3.21
38.0,Male,IT,4.03,TikTok,57.0,6.3,6.85,6.07,7.0,5.01,1.26,6.0,True,False,1.0,13.0,14.25,5.78
